Site,Spp,1,2,3,4,5,Notes
1,Achillea millefolium,,,,,,
1,Achyrachaena mollis,,,,,0.3,
1,Agoseris heterophylla,,,,,,
1,Amsinckia menziesii,,,,,,
1,Astragalus gambelianus,,,,,,
1,Athysanus pusillus,,,,,,
1,Avena fatua,16.0,8.0,24.0,2.0,5.0,
1,Brodiaea elegans,,,,,,
1,Bromus hordeaceus,3.5,9.0,0.2,9.0,5.0,
1,Bromus madritensis,,,,,,
1,Calochortus luteus,,,,,,
1,Centaurea solstitialis,16.0,4.0,3.5,9.0,,
1,Clarkia purpurea,,0.1,0.1,0.1,,
1,Cuscuta californica,,,,,,
1,Dichelostemma capitatum,,,0.1,,,
1,Epilobium brachycarpum,,,,0.1,,
1,Erodium brachycarpum,,0.1,,0.2,,
1,Erodium cicutarium,0.2,8.0,0.8,1.3,,
1,Euphorbia crenulata,,,,,0.3,
1,Geranium dissectum,,,,1.2,,
1,Gilia tricolor,,0.1,,,,
1,Hemizonia congesta,,,0.1,0.1,1.0,
1,Holocarpha virgata,,0.3,0.2,0.8,,
1,Hypochaeris glabra,,,,,,
1,Lactuca serriola,0.4,,,0.1,14.0,quad 5 Lactuca seems to have very skinny leaves - probably saligna
1,Lolium multiflorum,,,,,13.0,
1,Lotus wrangelianus,,0.2,0.9,4.5,0.3,
1,Lupinus bicolor,,,,0.2,,
1,Medicago polymorpha,,,,,,
1,Micropus californica,,,,,,
1,Nassella pulchra,,,7.0,2.0,,
1,Navarretia pubescens,,,,,,
1,Phlox gracilis,,,,,,
1,Plagiobothrys nothofulvus,,0.2,,0.2,,
1,Plantago erecta,,,,,,
1,Senecio vulgaris,,,,,,
1,Sidalcea diploscypha,,,,,,
1,Sonchus oleraceus,,,,,,
1,Taeniatherum caput-medusae,,34.0,14.0,19.0,,
1,Trifolium bifidum,,,,,,
1,Trifolium fucatum,,,,,,
1,Trifolium gracilentum,,,,,0.4,
1,Trifolium hirtum,,,,1.8,,
1,Trifolium willdenovii,,,,,,
1,Vicia villosa,11.0,,,0.3,,
1,Vulpia microstachys,,,,,,
1,Vulpia myuros,,,,,,
NOTES:,,,,,,,
2,Achyrachaena mollis,,,,,,
2,Agoseris heterophylla,,,0.8,,,
2,Allium falcifolium,,,0.5,,,
2,Amsinckia menziesii,,,,,,
2,Ancistrocarphus filagineus,,,0.1,,,
2,Astragalus gambelianus,,,,,,
2,Athysanus pusillus,,0.1,,,,
2,Avena barbata,25.0,1.0,0.3,0.9,,
2,Brodiaea elegans,0.1,,,0.2,,
2,Bromus hordeaceus,,,,0.8,0.1,
2,Bromus madritensis,,,,0.3,,
2,Calandrinia ciliata,,,,,,
2,Calochortus luteus,,,,,,
2,Calycadenia pauciflora,,,12.0,12.0,,
2,Camissonia ovata,,,,,,
2,Castilleja rubicundula,,,,,,
2,Centaurea solstitialis,,,,,,
2,Chaenactis glabriuscula,,,,,,
2,Chlorogalum pomeridianum,,,,,,
2,Clarkia purpurea,,,,,,
2,Clarkia gracilis,,,0.2,,,
2,Claytonia exigua,,,,,,
2,Collinsia sparsiflora,0.1,0.2,,,,
2,Dichelostemma capitatum,0.4,0.8,,,,
2,Elymus elymoides,,,,,,
2,Epilobium brachycarpum,,,,,,
2,Eriogonum nudum,,0.3,1.0,,,
2,Eriogonum vimineum,,,,1.4,,
2,Euphorbia crenulata,,0.1,,,,
2,Gilia tricolor,,,0.1,0.3,,
2,Hemizonia congesta,9.0,1.8,,,0.5,
2,Holocarpha virgata,,,,,0.1,
2,Hordeum brachyantherum,1.0,,,,,
2,Hordeum murinum,,,,,,
2,Lasthenia californica,3.0,0.1,1.2,1.5,,
2,Lepidium nitidum,,,,,,
2,Lolium multiflorum,8.0,40.0,,1.2,40.0,
2,Lotus humistratus,2.0,,0.4,,,
2,Lotus wrangelianus,,,,,1.2,
2,Lupinus succulentus,,0.6,,,,
2,Microseris douglasii,0.2,0.1,,,,"*californica written on datasheet, but probably douglasii"
2,Minuartia douglasii,,,,,,
2,Nassella pulchra,,,,2.0,8.0,
2,Navarretia jepsonii,2.0,,,0.1,,
2,Phlox gracilis,,,,,,
2,Plantago erecta,,,6.5,6.5,0.6,
2,Rigiopappus leptocladus,,,,,,
2,Sidalcea diploscypha,,,,,0.2,
2,Sonchus oleraceus,,,,,,
2,Taeniatherum caput-medusae,,,,,,
2,Thysanocarpus curvipes,,,,,,
2,Trifolium albopurpureum,,,,,0.8,
2,Trifolium fucatum,1.2,7.0,,,,
2,Triteleia laxa,,,,,,
2,Uropappus lindleyi,,,,,,
2,Vulpia microstachys,,,,0.1,,
2,Vulpia myuros,,,,,,
2,Lactuca serriola,,0.3,,0.2,0.4,
2,Calochortus superbus,,0.1,,,,
2,Lactuca saligna,0.1,0.5,,,1.2,
NOTES:,,,,,,,
3,Agoseris heterophylla,,0.4,0.3,,,
3,Amsinckia menziesii,,,,,,
3,Anagallis arvensis,,,,,,
3,Ancistrocarphus filagineus,,,,,,
3,Astragalus gambelianus,,,,,,
3,Athysanus pusillus,,1.5,,,,
3,Avena barbata,,1.0,0.2,22.0,30.0,
3,Avena fatua,,,,,,
3,Brodiaea elegans,,,,,,
3,Bromus hordeaceus,,0.3,0.5,,,
3,Bromus madritensis,0.5,1.5,,2.4,,
3,Calandrinia ciliata,,,,,,
3,Calochortus luteus,,,,,,
3,Calochortus sp.,,0.1,,0.3,,
3,Calycadenia pauciflora,0.3,1.0,,1.0,,
3,Camissonia graciliflora,,,,,,
3,Camissonia ovata,,,,,,
3,Castilleja rubicundula,,,,,,
